,,,,Basic indicators,,,,,,PV potential indicators,,,,,Power sector indicators,,,,,
ISO_A3,Country or region,Note,"World Bank 
Region","Total population, 2018","Total area, 2018",Evaluated area,"Level 1 area 
(% of evaluated area)","Human development 
Index, 2017","Gross domestic product (USD per capita), 2018","Average theoretical potential (GHI, kWh/m2/day), 
long-term","Average practical potential 
(PVOUT Level 1, 
kWh/kWp/day), long-term","Average economic potential (LCOE, USD/kWh), 2018","Average PV 
seasonality index, long-term","PV equivalent area (% of total area), long-term","Cummulative installed PV capacity (MWp), 2018","Cummulative installed PV capacity (Wp per capita), 2018","Access to electricity
(% of rural population), 2016","Electric power consumption (kWh per capita), 2014","Reliability of supply and transparency of tariff index, 2019","Approximate electricity 
Tariffs for SMEs 
(US cent/kWh), 2019"
GNB,Guinea-Bissau,,AFR,"1,874,309","28,120","28,120",96%,0.46,778,5.60,4.46,0.10,1.39,#N/A,1.2,0.6,4.0,#N/A,0,24.9
GNQ,Equatorial Guinea,,AFR,"1,308,974","28,050","28,050",69%,0.59,"10,174",4.60,3.67,0.12,1.37,#N/A,0,0.0,52.6,#N/A,0,17
GRC,Greece,,Other,"10,727,668","128,900","128,900",71%,0.87,"20,324",4.45,4.14,0.09,2.37,0.324,2651.5,247.2,100.0,5063,7,19.5
GRD,Grenada,,LCR,"111,454",340,340,50%,0.77,"10,834",5.41,4.45,0.10,1.22,#N/A,2.4,21.5,92.3,#N/A,3,27.6
GTM,Guatemala,,LCR,"17,247,807","107,160","107,160",53%,0.65,"4,549",5.25,4.39,0.10,1.37,0.044,113.5,6.6,86.4,578,7,19.4
GUM,Guam (U.S.),,Other,"165,768",540,540,82%,#N/A,"35,665",5.57,4.53,0.09,1.31,#N/A,34.8,209.9,100.0,#N/A,#N/A,#N/A
GUY,Guyana,,LCR,"779,004","196,850","196,850",14%,0.65,"4,635",5.21,4.20,0.10,1.29,#N/A,10.2,13.1,81.9,#N/A,0,30
HKG,"Hong Kong, SAR",,EAP,"7,451,000","1,050","1,050",40%,0.93,"48,717",3.91,3.27,0.13,1.47,29.378,0,0.0,#N/A,6083,8,15.4
HND,Honduras,,LCR,"9,587,522","111,890","111,890",54%,0.62,"2,483",5.16,4.26,0.10,1.36,0.026,516,53.8,72.2,620,0,17.2
HRV,Croatia,,ECA,"4,089,400","55,960","55,960",73%,0.83,"14,869",3.74,3.63,0.12,2.91,0.292,61,14.9,100.0,3714,5,17.6
