,,,,"Theoretical potential (GHI, kWh/m2/day), long-term",,,,,,,,"Practical potential  (PVOUT Level 1, kWh/kWp/day), long-term",,,,,,,
ISO_A3,Country or region,Note,World Bank Region,Minimum,10th percentile,25th Percentile,Average,Median,75th Percentile,90th percentile,Maximum,Minimum,10th percentile,25th Percentile,Average,Median,75th Percentile,90th percentile,Maximum
NZL,New Zealand,,Other,2.32,3.01,3.34,3.54,3.62,3.81,3.93,4.21,3.07,3.40,3.53,3.68,3.67,3.82,3.97,4.32
OMN,Oman,,MENA,5.67,6.10,6.16,6.28,6.24,6.40,6.52,6.77,4.74,5.02,5.08,5.17,5.14,5.22,5.40,5.63
PAK,Pakistan,,SOA,3.62,4.58,4.89,5.34,5.50,5.81,6.02,6.22,3.99,4.22,4.38,4.71,4.67,5.04,5.31,5.55
PAN,Panama,,LCR,3.47,4.13,4.47,4.74,4.79,5.08,5.32,5.56,2.95,3.59,3.81,3.97,3.98,4.21,4.29,4.45
PER,Peru,,LCR,3.51,4.41,4.74,5.15,4.90,5.65,6.34,6.95,3.26,3.93,4.42,4.90,5.02,5.46,5.66,5.88
PHL,Philippines,,EAP,3.67,4.25,4.53,4.73,4.76,4.98,5.17,5.46,3.24,3.65,3.77,3.93,3.93,4.09,4.24,4.55
PLW,Palau,,EAP,4.82,4.85,4.88,4.98,4.99,5.05,5.09,5.24,3.86,3.89,3.96,4.01,4.01,4.06,4.09,4.16
PNG,Papua New Guinea,,EAP,3.30,3.90,4.24,4.48,4.51,4.76,5.03,5.41,2.80,3.34,3.52,3.69,3.67,3.90,4.07,4.35
POL,Poland,,ECA,2.80,2.87,2.91,2.98,2.99,3.04,3.09,3.13,2.81,2.90,2.94,2.98,2.99,3.03,3.07,3.11
PRI,Puerto Rico (U.S.),,Other,4.61,4.95,5.08,5.27,5.23,5.45,5.70,5.92,3.94,4.16,4.24,4.40,4.36,4.55,4.73,4.87
PRK,D. P. R. of Korea,,Other,3.53,3.70,3.78,3.86,3.87,3.94,4.00,4.13,3.62,3.78,3.84,3.92,3.89,3.95,4.07,4.44
PRT,Portugal,,Other,3.41,4.22,4.39,4.57,4.61,4.80,4.89,5.08,3.19,4.05,4.19,4.32,4.35,4.49,4.54,4.73
PRY,Paraguay,,LCR,4.89,4.96,5.03,5.08,5.09,5.13,5.17,5.24,4.04,4.20,4.27,4.28,4.30,4.32,4.34,4.38
PSE,West Bank and Gaza,,MENA,5.38,5.48,5.52,5.61,5.59,5.70,5.77,5.85,4.60,4.80,4.84,4.93,4.91,5.04,5.12,5.20
PYF,French Polynesia (Fr.),,Other,3.85,4.35,4.84,5.26,5.35,5.77,5.88,6.38,3.32,3.82,4.18,4.39,4.52,4.68,4.77,5.07
QAT,Qatar,,MENA,5.63,5.81,5.89,5.90,5.91,5.94,5.96,5.98,4.67,4.86,4.91,4.92,4.93,4.95,4.97,5.00
ROU,Romania,,ECA,3.01,3.31,3.45,3.57,3.57,3.76,3.83,3.89,3.19,3.36,3.43,3.52,3.52,3.64,3.66,3.71
RUS,Russian Federation,up to parallel 60°N,ECA,2.57,2.75,2.87,3.12,3.06,3.34,3.59,3.89,2.75,2.95,3.08,3.36,3.24,3.49,4.06,4.61
RWA,Rwanda,,AFR,4.20,4.74,4.96,5.08,5.14,5.24,5.33,5.52,3.51,3.93,4.05,4.10,4.12,4.19,4.25,4.36
SAU,Saudi Arabia,,MENA,5.69,5.90,6.07,6.21,6.25,6.36,6.45,6.62,4.51,4.90,5.06,5.16,5.18,5.28,5.38,5.62
SDN,Sudan,,AFR,5.53,6.04,6.23,6.32,6.35,6.47,6.55,6.67,4.32,4.71,4.82,4.94,4.94,5.06,5.20,5.52
SEN,Senegal,,AFR,5.63,5.70,5.74,5.80,5.81,5.86,5.88,5.90,4.46,4.50,4.52,4.58,4.58,4.64,4.67,4.79
SGP,Singapore,,Other,4.38,4.42,4.44,4.49,4.48,4.53,4.59,4.63,3.46,3.49,3.50,3.55,3.53,3.59,3.65,3.66
SLB,Solomon Islands,,EAP,3.49,3.99,4.23,4.40,4.42,4.60,4.79,5.11,3.15,3.38,3.53,3.69,3.68,3.87,4.02,4.12
SLE,Sierra Leone,,AFR,4.76,4.89,5.00,5.12,5.12,5.24,5.36,5.50,3.81,3.91,3.99,4.09,4.09,4.18,4.27,4.39
SLV,El Salvador,,LCR,5.16,5.60,5.84,5.92,5.98,6.07,6.12,6.19,4.39,4.67,4.78,4.83,4.85,4.90,4.95,5.02
