Report generated on: 02-25-2022 09:56:48
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"INTL.2-3-CIV-BKWH.A","        Côte d’Ivoire","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.034","0.04","0.04","0","0","0","0","0","0","0","0","0","0","0","0","0.145","0.022","0.054","0","0","0.023","0.036","0.019","0.102","0.172","NA"
"INTL.2-3-DNK-BKWH.A","        Denmark","1.98","7.867","4.418","8.135","7.044","3.155","2.165","4.172","5.857","11.66","11.773","3.075","8.647","6.28","1.8","4.012","3.782","3.793","3.28","5.223","8.417","8.199","8.939","7.023","8.673","12.943","6.767","10.427","12.815","11.208","10.599","11.694","15.92","11.459","12.702","15.645","14.976","15.218","15.634","15.982","18.891"
"INTL.2-3-DJI-BKWH.A","        Djibouti","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-3-DMA-BKWH.A","        Dominica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-3-DOM-BKWH.A","        Dominican Republic","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-3-ECU-BKWH.A","        Ecuador","0.013","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.025","0.02","0.025","0.055","1.12","1.642","1.723","1.57","0.86099","0.5","1.12","0.873","1.295","0.238","0.662","0.837","0.512","0.082","0.019","0.106072","0.006","NA"
"INTL.2-3-EGY-BKWH.A","        Egypt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.174","0.214","0.228","0.153","0.174","0.168","0.208","0.251","0.126","0.183","0.152","0.102","0.077","0.061","0.051","0.054","0.065","0.081","0.07","0.074","NA"
"INTL.2-3-SLV-BKWH.A","        El Salvador","0","0","0","0","0","0","0.089","0.018","0.018","0.006","0.011","0.007","0.098","0.09","0.105","0.033","0.043","0.106","0.061","0.46","0.9","0.7","0.43","0.433","0.466","0.322","0.011","0.038","0.083","0.208","0.174","0.216","0.163","0.283","0.589","0.963","1.066","1.675","1.824","1.45","NA"
"INTL.2-3-GNQ-BKWH.A","        Equatorial Guinea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-3-ERI-BKWH.A","        Eritrea","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-3-EST-BKWH.A","        Estonia","--","--","--","--","--","--","--","--","--","--","--","--","0.2","0.221","0.4","0.245","0.24","0.24","0.14","0.13","0.3","0.1","0.412","0.093","0.347","0.345","0.251","0.345","1.369","3.025","1.1","1.69","2.71","2.712","3.73","5.452","3.577","2.281","3.053","4.861","7.367"
"INTL.2-3-SWZ-BKWH.A","        Eswatini","0","0","0","0","0","0","0.1","0.2","0.25","0.3","0.41","0.357","0.567","0.53","0.577","0.618","0.571","0.608","0.615","0.6","0.62","0.639","0.799","0.8","0.697","0.872","0.76","0.856","0.983","0.923","0.909","0.806","0.813","0.822","0.86","0.98","1.077","1.064","1.02","0.942","NA"
"INTL.2-3-ETH-BKWH.A","        Ethiopia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-3-FLK-BKWH.A","        Falkland Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-3-FRO-BKWH.A","        Faroe Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-3-FJI-BKWH.A","        Fiji","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-3-FIN-BKWH.A","        Finland","2.374","2.77","4.052","5.459","5.637","5.635","6.215","6.104","7.794","9.337","11.1","7.931","9.067","8.013","7.2","7.3","5.367","8.105","9.582","11.356","12.206","11.769","13.464","11.882","11.667","17.948","14.118","15.419","16.107","15.46","15.719","17.656","19.089","17.591","21.622","21.459","22.11","22.204","22.548","23.938","21.615"
"INTL.2-3-CSK-BKWH.A","        Former Czechoslovakia","3.38","3.22","3.1","3.76","4.57","6.076","3.738","5.644","5.997","7.47","7.654","5.015","7.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
