Report generated on: 02-25-2022 09:57:07
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"INTL.2-4-COG-BKWH.A","        Congo-Brazzaville","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.019","0.022","0.033","0.022","0.022","0.026","0.044","NA"
"INTL.2-4-COD-BKWH.A","        Congo-Kinshasa","0.107","0.141","0.108","0.11","0.135","0.154","0.187","0.19","0.112","0.31","0.062","0.12","1.23","1.415","1.077","1.486","1.486","0.718","0.404","0.754","1.279","1.202","1.334","1.331","1.395","1.735","1.323","1.402","0.674","0.887","0.916","0.171","0.048","0.048","0.069","0.422","0.42","0.062","0.076","0.248","NA"
"INTL.2-4-COK-BKWH.A","        Cook Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-4-CRI-BKWH.A","        Costa Rica","0","0","0.107","0.488","0.443","0.06","0.1","0.11","0.084","0.098","0.126","0.174","0.098","0.081","0.006","0.151","0.109","0.241","0.068","0.128","0.497","0.379","0.478","0.273","0.44","0.07","0.06","0.03955","0.166","0.134","0.135","0.32","0.402","0.484","0.555","0.643","0.657","0.741","0.813","0.712","NA"
"INTL.2-4-HRV-BKWH.A","        Croatia","--","--","--","--","--","--","--","--","--","--","--","--","0.632","1.257","0.95","0.886","1.63","0.66","0.428","0.595","0.386","0.588","0.792","1.142","2.296","4.323","3.306","1.948","6.242","6.889","8.447","6.83","5.743","7.391","6.945","6.369","6.867","5.204","7.306","5.268","5.852"
"INTL.2-4-CUB-BKWH.A","        Cuba","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-4-CYP-BKWH.A","        Cyprus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-4-CZE-BKWH.A","        Czech Republic","--","--","--","--","--","--","--","--","--","--","--","--","--","8.056","5.8","6.304","8.814","10.201","10.844","12.26","18.742","18.919","20.889","26.299","25.493","24.985","24.097","26.357","19.989","22.23","21.59","27.501","28.707","27.458","28.142","28.661","24.791","28.109","25.481","24.122816","23.521"
"INTL.2-4-CIV-BKWH.A","        Côte d’Ivoire","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.436","0.951","0.593","1.291","1.238","1.156","1.565","1.327","1.409","1.398","1.065","0.772","0.599","0.484","0.491","0.615","0.645","0.82","0.877","0.872","1.246","1.877","1.156","1.178","NA"
"INTL.2-4-DNK-BKWH.A","        Denmark","3.212","2.331","2.39","3.928","2.16","2.695","2.083","1.758","1.648","2.201","4.925","5.047","4.901","5.095","6.62","4.806","19.181","11.049","7.6","7.536","7.752","8.774","11.01","15.568","11.545","11.574","13.702","11.377","11.36","10.874","11.734","10.374","10.706","10.377","9.847","9.733","9.919","10.655","10.409","10.171","12.694"
"INTL.2-4-DJI-BKWH.A","        Djibouti","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-4-DMA-BKWH.A","        Dominica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-4-DOM-BKWH.A","        Dominican Republic","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-4-ECU-BKWH.A","        Ecuador","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.067","0.035","0.016","0.00123","0.03853","0.038","0.021","0.01","0.014","0.012","0.029","0.047","0.046","0.402","0.212","0.256","1.826","NA"
"INTL.2-4-EGY-BKWH.A","        Egypt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.328","0.453","0.959","1.039","0.873","0.946","0.557","0.814","1.022","1.118","1.595","1.679","0.474","0.46","0.73","0.747","0.333","0.425","0.341","0.36","NA"
"INTL.2-4-SLV-BKWH.A","        El Salvador","0","0","0","0","0","0","0.001","0.01","0.004","0.002","0.009","0.002","0.046","0.011","0.014","0.065","0.021","0.018","0.023","0.208","0.112","0.044","0.051","0.103","0.084","0.038","0.009","0.007","0.089","0.079","0.089","0.102","0.078","0.091","0.208","0.064","0.078","0.09","0.065","0.158","NA"
"INTL.2-4-GNQ-BKWH.A","        Equatorial Guinea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-4-ERI-BKWH.A","        Eritrea","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-4-EST-BKWH.A","        Estonia","--","--","--","--","--","--","--","--","--","--","--","--","3.492","1.596","1.5","1.005","1.1","1.184","0.528","0.734","1.187","0.891","1.102","1.989","2.141","1.953","1.001","2.765","2.31","2.943","4.354","5.252","4.95","6.301","6.484","6.377","5.614","5.014","4.95","2.704","3.722"
"INTL.2-4-SWZ-BKWH.A","        Eswatini","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
