Report generated on: 02-24-2022 17:30:48
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"INTL.13-3-BRB-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0.3","0.3","0","0.2","0.2","0.2","0.3","0.3","0.3","0.2","0","0.3","0.3","0.3","0.3","0.2","0.2","0.2","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.4","0.4","NA","NA"
"INTL.6899-3-BRB-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0.3","0.3","0","0.2","0.2","0.2","0.3","0.3","0.3","0.2","0","0.3","0.3","0.3","0.3","0.2","0.2","0.2","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.4","0.4","NA","NA"
"INTL.8499-3-BRB-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Belarus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-BLR-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","--","--","--","--","--","--","--","--","--","--","--","--","0","3.9","5","4.6","3.6","5.5","5.5","3.7","4","3.3","2","2.7","1","1","1","1.6","0.9","0.8","1.8","0.0317808219178082","0.2","NA","NA"
"INTL.6899-3-BLR-TBPD.A","            LPG (Mb/d)","--","--","--","--","--","--","--","--","--","--","--","--","0","3.9","5","4.6","3.6","5.5","5.5","3.7","4","3.3","2","2.7","1","1","1","1.6","0.9","0.8","1.8","0.0317808219178082","0.2","NA","NA"
"INTL.8499-3-BLR-TBPD.A","            Ethane (Mb/d)","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Belgium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-BEL-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","6.6","7","5.5","6.2","4.8","13","19","18","15","17","16","18","14","11","11","7.2","5","4.1","5.9","6.5","8.1","6.5","38","36","23","43","48","56","NA"
"INTL.6899-3-BEL-TBPD.A","            LPG (Mb/d)","7.815520047","10","11","9.7","9.2","8.7","6.6","7","5.5","6.2","4.8","13","19","18","15","17","16","18","14","11","11","7.2","5","4.1","5.9","6.5","8.1","6.5","38","36","23","43","48","56","NA"
"INTL.8499-3-BEL-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"","Belize","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-BLZ-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0.00602","0.1","0.09099","0.09534","0.08","0.09534","0.09508","0.09534","0.09534","0.1","0.1","0.3","0.3","0.3","0.3","0.4","0.5","0.5","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.5","NA","NA"
"INTL.6899-3-BLZ-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0.00602","0.1","0.09099","0.09534","0.08","0.09534","0.09508","0.09534","0.09534","0.1","0.1","0.3","0.3","0.3","0.3","0.4","0.5","0.5","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.5","NA","NA"
"INTL.8499-3-BLZ-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Benin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-BEN-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0.02005","0.02335","0","0","0","0","0","0","0","0","0","0.03178","0","0","0.0633879781420765","0.0635616438356164","0.0635616438356164","0.3","0.3","0.4","0.4","0.4","0.5","0.3","0.3","0.3","0.3","NA","NA"
"INTL.6899-3-BEN-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0.02005","0.02335","0","0","0","0","0","0","0","0","0","0.03178","0","0","0.0633879781420765","0.0635616438356164","0.0635616438356164","0.3","0.3","0.4","0.4","0.4","0.5","0.3","0.3","0.3","0.3","NA","NA"
"INTL.8499-3-BEN-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Bermuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-BMU-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0.09534","0.09534","0.09508","0.09534","0.1","0.4","0.3","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.3","0.4","0.2","0.1","0.0953424657534247","0.0635616438356164","0.0953424657534247","0.0950819672131148","NA","NA"
"INTL.6899-3-BMU-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0.09534","0.09534","0.09508","0.09534","0.1","0.4","0.3","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.3","0.4","0.2","0.1","0.0953424657534247","0.0635616438356164","0.0953424657534247","0.0950819672131148","NA","NA"
"INTL.8499-3-BMU-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Bhutan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-BTN-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0.06356","0.06356","0.06338","0.06356","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.09534","0.09534","0.0953424657534247","0.0950819672131148","0.0953424657534247","0.0953424657534247","0.0953424657534247","0.1","0.0953424657534247","0.1","0.2","0.2","0.2","0.2","0.2","0.2","NA","NA"
"INTL.6899-3-BTN-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0.06356","0.06356","0.06338","0.06356","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.09534","0.09534","0.0953424657534247","0.0950819672131148","0.0953424657534247","0.0953424657534247","0.0953424657534247","0.1","0.0953424657534247","0.1","0.2","0.2","0.2","0.2","0.2","0.2","NA","NA"
"INTL.8499-3-BTN-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Bolivia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-BOL-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0953424657534247","0.7","1.1","1.2","NA","NA"
"INTL.6899-3-BOL-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0953424657534247","0.7","1.1","1.2","NA","NA"
"INTL.8499-3-BOL-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Bosnia and Herzegovina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-BIH-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","--","--","--","--","--","--","--","--","--","--","--","--","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0.8","0.8","0.8","0.0953424657534247","1.6","1.7","1.8","NA","NA"
"INTL.6899-3-BIH-TBPD.A","            LPG (Mb/d)","--","--","--","--","--","--","--","--","--","--","--","--","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0.8","0.8","0.8","0.0953424657534247","1.6","1.7","1.8","NA","NA"
"INTL.8499-3-BIH-TBPD.A","            Ethane (Mb/d)","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Botswana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-BWA-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0.1","0","0.04631","0.2","0.4","0.5","0.6","0.5","0.5","0.5","0.5","0.3","0.5","0.5","0.9","1","1","1","0.9","1","1","1","1","1","1","1","1","NA","NA"
"INTL.6899-3-BWA-TBPD.A","            LPG (Mb/d)","NA","0.060184879","0.060184879","0.060184879","0.060184879","0.090290045","0.1","0","0.04631","0.2","0.4","0.5","0.6","0.5","0.5","0.5","0.5","0.3","0.5","0.5","0.9","1","1","1","0.9","1","1","1","1","1","1","1","1","NA","NA"
"INTL.8499-3-BWA-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Brazil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-3-BRA-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","18","22","40","40","40","47","48","53","54","73","77","80","87","92","89","66","58","35","32","30","27","38","38","44","54","58","49","NA","NA"
