Report generated on: 02-24-2022 17:30:36
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"INTL.13-2-BEN-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0.02005","0.02335","0","0","0","0","0","0","0","0","0","0.03178","0","0","0.0633879781420765","0.0635616438356164","0.0635616438356164","0.2","0.3","0.2","0.2","0.3","0.3","0.4","0.3","0.4","0.4","NA","NA"
"INTL.6899-2-BEN-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0.02005","0.02335","0","0","0","0","0","0","0","0","0","0.03178","0","0","0.0633879781420765","0.0635616438356164","0.0635616438356164","0.2","0.3","0.2","0.2","0.3","0.3","0.4","0.3","0.4","0.4","NA","NA"
"INTL.8499-2-BEN-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Bermuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-BMU-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0.09534","0.09534","0.09508","0.09534","0.1","0.4","0.3","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.3","0.4","0.2","0.1","0.0953424657534247","0.0635616438356164","0.0953424657534247","0.0950819672131148","NA","NA"
"INTL.6899-2-BMU-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0.09534","0.09534","0.09508","0.09534","0.1","0.4","0.3","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.3","0.4","0.2","0.1","0.0953424657534247","0.0635616438356164","0.0953424657534247","0.0950819672131148","NA","NA"
"INTL.8499-2-BMU-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Bhutan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-BTN-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0.06356","0.06356","0.06338","0.06356","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.09534","0.09534","0.0953424657534247","0.0950819672131148","0.0953424657534247","0.0953424657534247","0.0953424657534247","0.1","0.0953424657534247","0.1","0.2","0.2","0.2","0.2","0.2","0.2","NA","NA"
"INTL.6899-2-BTN-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0.06356","0.06356","0.06338","0.06356","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.09534","0.09534","0.0953424657534247","0.0950819672131148","0.0953424657534247","0.0953424657534247","0.0953424657534247","0.1","0.0953424657534247","0.1","0.2","0.2","0.2","0.2","0.2","0.2","NA","NA"
"INTL.8499-2-BTN-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Bolivia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
